City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,san pedro de cajas,-11.2511,-75.8617,10.56,57,75,1.91,PE,1686589985
281,moose jaw,50.4001,-105.5344,26.15,25,75,3.09,CA,1686589985
282,prince rupert,54.3161,-130.3201,13.05,89,100,4.63,CA,1686589907
283,riyadh,24.6877,46.7219,38.08,13,40,4.36,SA,1686589985
284,coxim,-18.5067,-54.76,19.8,88,100,3.1,BR,1686589986
285,zambezi,-13.5432,23.1047,21.71,30,6,2.54,ZM,1686589986
286,lewisville,33.0462,-96.9942,24.63,84,100,10.29,US,1686589986
287,carqueiranne,43.0953,6.073,23.76,79,59,2.06,FR,1686589986
288,bandar abbas,27.1865,56.2808,32.99,62,7,5.14,IR,1686589987
289,nova sintra,14.8667,-24.7167,21.82,83,48,9.01,CV,1686589987
290,naha,26.2125,127.6811,26.15,94,75,6.17,JP,1686589988
291,mana,5.6592,-53.7767,28.64,78,34,3.32,GF,1686589989
292,ubatuba,-23.4339,-45.0711,26.3,56,0,1.53,BR,1686589989
293,acajutla,13.5928,-89.8275,30.14,72,86,2.56,SV,1686589989
294,papao,-17.75,-149.55,22.82,76,28,8.52,PF,1686589989
295,la ronge,55.1001,-105.2842,23.14,38,100,3.6,CA,1686589990
296,chimbote,-9.0853,-78.5783,24.14,66,47,5.52,PE,1686589635
297,usogorsk,63.4106,48.6872,13.06,90,95,2.24,RU,1686589990
298,hermanus,-34.4187,19.2345,13.22,74,91,9.86,ZA,1686589990
299,bandar-e genaveh,29.5791,50.517,32.91,48,0,1.91,IR,1686589990
300,inongo,-1.95,18.2667,24.38,71,90,0.66,CD,1686589991
301,al jawf,29.5,38.75,32.48,17,19,6.48,SA,1686589991
302,berezovyy,51.6667,135.7,9.99,92,61,1.07,RU,1686589991
303,brezina,33.0989,1.2608,36.21,10,1,8.19,DZ,1686589991
304,enriquillo,17.9,-71.2333,30.82,67,8,6.34,DO,1686589991
305,alesund,62.4723,6.1549,18.33,65,75,5.14,NO,1686589806
306,south hedland,-20.4089,118.5983,17.96,59,1,1.54,AU,1686589992
307,ancud,-41.8697,-73.8203,7.95,71,1,3.12,CL,1686589992
308,timimoun,29.2639,0.231,42.21,6,0,7.72,DZ,1686589992
309,trenggalek,-8.05,111.7167,23.9,96,98,1.66,ID,1686589993
310,al bardiyah,31.7561,25.0865,23.45,65,1,6.21,LY,1686589993
311,ambovombe,-25.1667,46.0833,20.66,83,23,5.68,MG,1686589852
312,ciudad bolivar,8.1222,-63.5497,33.68,47,36,2.63,VE,1686589993
313,smithers,54.7804,-127.1743,15.18,58,75,2.06,CA,1686589389
314,katabu,-4.9333,122.5167,23.29,89,93,1.61,ID,1686589994
315,ukata,10.8312,5.8249,26.8,68,77,2.1,NG,1686589994
316,vikhorevka,56.1201,101.1636,14.77,65,98,1.58,RU,1686589994
317,charters towers,-20.1,146.2667,17.37,92,82,4.19,AU,1686589994
318,prymors'k,46.7348,36.3443,19.3,87,65,5.9,UA,1686589994
319,mancio lima,-7.6142,-72.8958,31.04,66,75,2.06,BR,1686589995
320,feodosiya,45.0333,35.3833,19.35,88,32,3.98,UA,1686589995
321,idaho falls,43.4666,-112.0341,19.31,68,20,2.24,US,1686589995
322,hulan ergi,47.2042,123.6333,17.6,59,62,3.04,CN,1686589995
323,abatskoye,56.2875,70.4555,9.76,68,91,3.42,RU,1686589995
324,grafton,42.207,-71.6856,27.76,55,40,5.66,US,1686589996
325,cosala,24.4125,-106.6908,33.95,29,0,2.19,MX,1686589996
326,bowen,-20.0167,148.2333,18.58,95,24,2.96,AU,1686589996
327,troitsko-pechorsk,62.7084,56.1964,10.02,64,86,1.94,RU,1686589996
328,vadso,70.0744,29.7487,19.49,41,0,2.06,NO,1686589997
329,puerto princesa,9.7392,118.7353,27.2,83,100,1.86,PH,1686589997
330,katsuren-haebaru,26.3369,127.8719,26.21,100,75,2.06,JP,1686589997
331,geraldton,-28.7667,114.6,9.23,87,0,2.06,AU,1686589997
332,heihe,50.2441,127.4902,15.32,85,66,1.29,CN,1686589998
333,gwadar,25.1216,62.3254,29.69,75,34,4.2,PK,1686589998
334,taltal,-25.4,-70.4833,15.38,72,24,2.51,CL,1686589998
335,nikolina gora,55.7344,37.0414,17.32,52,7,4.09,RU,1686589998
336,shimoda,34.6667,138.95,21.17,95,89,6.02,JP,1686589999
337,alghero,40.5589,8.3181,27.05,61,0,2.57,IT,1686589999
338,holualoa,19.6228,-155.9522,22.91,86,40,1.54,US,1686589999
339,aliade,7.2964,8.487,24.96,85,100,1.1,NG,1686589999
340,howrah,22.5892,88.3103,29.0,79,40,2.06,IN,1686589999
341,mount gambier,-37.8333,140.7667,9.73,89,84,4.49,AU,1686590000
342,yonggwang-up,40.0183,127.4547,15.67,96,100,0.59,KP,1686590000
343,magong,23.5654,119.5863,26.79,86,95,3.36,TW,1686590000
344,kalix,65.853,23.1565,15.48,61,55,7.43,SE,1686590000
345,nizhnesortymskiy,62.4397,71.7603,6.48,76,100,5.13,RU,1686590001
346,ternate,0.8,127.4,27.15,81,73,0.83,ID,1686590001
347,atlantic beach,30.3344,-81.3987,31.01,64,75,4.63,US,1686590001
348,cole harbour,44.6724,-63.4751,27.68,33,75,6.17,CA,1686590001
349,qarqaraly,49.4058,75.4742,16.01,38,5,2.62,KZ,1686590002
350,utsunomiya,36.5658,139.8836,20.74,95,100,1.24,JP,1686590002
351,chake chake,-5.2459,39.7666,24.62,77,24,4.61,TZ,1686590002
352,ponta delgada,37.7333,-25.6667,19.4,94,75,8.75,PT,1686590002
353,pisco,-13.7,-76.2167,23.03,60,0,5.66,PE,1686590002
354,tilcara,-23.5776,-65.3509,9.56,29,9,2.79,AR,1686590003
355,lucapa,-8.4192,20.7447,25.69,27,80,1.33,AO,1686590003
356,rawson,-43.3002,-65.1023,10.76,37,1,5.81,AR,1686590003
357,palapag,12.5458,125.1147,25.5,86,100,1.69,PH,1686590003
358,bosobolo,4.1833,19.9,23.3,92,98,1.25,CD,1686589881
359,kuanda,56.3161,116.0806,9.55,82,88,1.71,RU,1686590004
360,fortuna,40.5982,-124.1573,12.59,96,100,1.54,US,1686589929
361,kalmunai,7.4167,81.8167,28.18,78,99,1.89,LK,1686590004
362,juan griego,11.0817,-63.9655,30.07,74,32,7.2,VE,1686590004
